PLOT_NAME,CBH,LAI,TBA,MDBH,MLAI,OLAI,SDHT,SDSD,ULAI,GCvol,MSvol,MaxSD,MaxSH,MaxTH,MinSD,OSvol,SDSHT,USvol,LF_ASP,LF_CBD,LF_EVC,LF_EVT,MeanSA,MeanSD,MeanSH,MeanTH,TreesN,latlon,LF_EVEL,LF_SLPD,ShrubsN,LF_FDist,Basalarea,LF_FBFM13,LF_FBFM40,shrubArea,Unnamed: 0,scaledShrubArea
CASBC_0036_20240912_1,3.3,1.3,4.7,9.1,0.9,0.1,2.0,6.4,0.6,0.1,0.2,28.1,3.0,9.6,0,0.0,0.2,0.1,236,1,Tree Cover = 34%,California Coastal Live Oak Woodland and Savanna,5.4,10.1,2.9,7.9,7,"[34.690314961497066, -120.05241882459259]",377,11,31,No Disturbance,31.3,FBFM5,GS3,168.1,25%,1130.4
CASBC_0037_20240912_1,3.4,1.3,3.5,9.2,0.9,0.1,1.4,6.2,0.6,0.1,0.2,25.6,3.0,9.4,0,0.0,0.1,0.1,249,1,Tree Cover = 42%,California Coastal Live Oak Woodland and Savanna,5.8,10.1,3.0,7.4,6,"[34.69013484280918, -120.05242521507083]",375,15,41,No Disturbance,21.8,FBFM5,GS3,238.5,25%,1500.8
CASBC_0038_20240912_1,3.8,1.4,6.8,16.6,0.9,0.1,3.7,6.5,0.5,0.2,0.2,28.5,3.0,13.3,0,0.0,0.4,0.0,262,0,Shrub Cover = 51%,Northern and Central California Dry-Mesic Chaparral,5.2,10.7,2.8,10.2,4,"[34.689954724114834, -120.05243160549226]",377,17,37,No Disturbance,46.9,FBFM4,SH5,193.5,25%,1340.6
CASBC_0039_20240912_1,3.4,1.5,3.4,7.5,0.9,0.0,1.5,6.2,0.8,0.1,0.2,27.4,3.0,10.5,0,0.0,0.3,0.1,262,0,Shrub Cover = 51%,Northern and Central California Dry-Mesic Chaparral,5.3,10.1,2.9,9.0,9,"[34.68977460541419, -120.05243799585699]",377,17,38,No Disturbance,24.5,FBFM4,SH5,200.7,25%,1455.7
CASBC_0041_20240912_1,2.5,1.0,4.5,11.3,0.6,0.0,1.6,6.4,0.6,0.1,0.2,27.2,3.0,9.4,0,0.0,0.5,0.1,254,0,Shrub Cover = 46%,Northern and Central California Dry-Mesic Chaparral,5.0,9.4,2.8,7.1,5,"[34.69030968282864, -120.0522007597587]",387,21,30,No Disturbance,35.6,FBFM4,SH5,151.3,25%,1203.0
CASBC_0042_20240912_1,2.2,0.9,3.1,9.1,0.4,0.0,1.3,5.1,0.6,0.1,0.1,21.2,3.0,8.9,0,0.0,0.4,0.1,251,0,Shrub Cover = 41%,Northern and Central California Dry-Mesic Chaparral,6.1,7.6,2.8,8.0,6,"[34.68994944551695, -120.05221354160051]",389,17,28,No Disturbance,24.9,FBFM4,SH5,171.9,25%,1396.7
CASBC_0043_20240912_1,1.8,0.8,5.5,10.2,0.3,0,1.1,7.5,0.7,0.1,0.0,24.1,3.0,7.2,0,0,0.4,0.1,254,0,Shrub Cover = 46%,Northern and Central California Dry-Mesic Chaparral,4.0,10.7,2.9,5.7,7,"[34.69012956417601, -120.05220715070797]",387,21,16,No Disturbance,54.6,FBFM4,SH5,63.8,25%,633.9
CASBC_0044_20240912_1,2.5,1.2,19.3,16.7,0.5,0,0.7,6.2,0.9,0.1,0.1,24.2,3.0,8.1,0,0,0.4,0.1,251,0,Shrub Cover = 41%,Northern and Central California Dry-Mesic Chaparral,5.4,8.6,2.8,6.7,11,"[34.68976932685159, -120.05221993243633]",389,17,25,No Disturbance,148.9,FBFM4,SH5,135.1,25%,1041.4
CASBC_0045_20240912_1,2.0,0.8,15.5,19.9,0.3,0.0,0.8,7.1,0.6,0.1,0.1,23.1,3.0,6.3,0,0.0,0.3,0.1,224,0,Shrub Cover = 48%,Northern and Central California Dry-Mesic Chaparral,6.2,9.4,2.9,5.0,6,"[34.68958920817979, -120.05222632321546]",388,11,17,No Disturbance,105.4,FBFM4,SH5,104.8,25%,710.4
CASBC_0048_20241117_1,2.8,1.1,1.3,10.1,0.6,0.0,0.4,5.1,0.7,0.1,0.2,22.5,3.0,9.8,0,0.0,0.1,0.1,131,0,Shrub Cover = 51%,Northern and Central California Dry-Mesic Chaparral,7.0,7.0,3.0,9.5,2,"[34.693924083125374, -120.05412824559556]",395,11,27,No Disturbance,9.3,FBFM4,SH5,188.0,25%,1378.0
CASBC_0049_20241117_1,3.6,0.8,9.0,14.6,0.5,0.1,1.9,5.4,0.3,0.1,0.2,24.2,3.0,14.6,0,0.1,0.4,0.0,147,0,Shrub Cover = 45%,Southern California Coastal Scrub,6.7,6.2,2.9,11.1,6,"[34.69416799745065, -120.05452338094558]",401,12,17,No Disturbance,57.5,FBFM5,GS2,114.3,25%,728.3
CASBC_0050_20241117_1,3.6,0.2,0,0,0.1,0.0,0,2.2,0.1,0.1,0.0,8.6,3.0,0,0,0.0,0.0,0.0,106,0,Shrub Cover = 41%,Northern and Central California Dry-Mesic Chaparral,3.7,2.9,3.0,0,1,"[34.69375425144697, -120.05455987801308]",404,14,8,No Disturbance,0,FBFM4,SH5,29.4,25%,182.2
CASBC_0047_20241117_1,3.1,0.6,1.5,7.4,0.3,0.0,1.4,6.6,0.3,0.1,0.1,25.5,3.0,11.5,0,0.0,0.4,0.0,214,0,Shrub Cover = 46%,Northern and Central California Dry-Mesic Chaparral,6.2,9.4,2.9,10.3,4,"[34.694202775947865, -120.05372548960315]",407,14,27,No Disturbance,9.7,FBFM4,SH5,168.0,25%,1065.5
CASBC_0051_20241117_1,3.0,0.7,9.5,12.6,0.4,0.0,1.3,6.9,0.4,0.1,0.1,28.4,3.0,8.5,0,0.0,0.1,0.0,131,0,Shrub Cover = 51%,Northern and Central California Dry-Mesic Chaparral,6.6,9.4,3.0,7.1,8,"[34.693752970209864, -120.05413431384896]",395,11,27,No Disturbance,58.0,FBFM4,SH5,179.0,25%,1089.5
CASBC_0052_20241117_1,2.3,0.7,0.5,6.5,0.3,0.0,0.2,8.0,0.5,0.1,0.1,27.7,3.0,8.7,0,0.0,0.2,0.0,249,0,Shrub Cover = 50%,Northern and Central California Dry-Mesic Chaparral,5.3,11.5,2.9,8.5,2,"[34.69374189004789, -120.0536763581195]",404,18,20,No Disturbance,3.3,FBFM4,SH5,105.4,25%,734.0
CASBC_0055_20241117_1,5.1,0.5,1.8,11.4,0.4,0.1,2.2,3.6,0.1,0.1,0.1,13.5,3.0,13.6,0,0.0,0.0,0.0,181,1,Tree Cover = 35%,California Coastal Live Oak Woodland and Savanna,6.6,4.6,3.0,12.0,2,"[34.69328096801604, -120.05399827035882]",385,6,14,No Disturbance,11.2,FBFM5,GS3,92.9,25%,570.2
